sentiment,negative_reason,text
negative,Scandal,election even staff already caught commiting fraud n nformer hamilton centre conservative riding president arrested fraud police n ncue whataboutisms group think twitterverse n n  elxn
negative,Women Reproductive right and Racism,fight protect hard earned rights xe x x stop ballot box  canfem  elxn n ngroup mission xe x x celect candidates committed restricting access abortions canada trying recruit pro life people staff newly elected mps offices xe x x
positive,,justin trudeau rally milton packed one else even get hoarding us near banquet doors xf x f x xb xf x f x x  chooseforward  elxn
positive,,look pure gold know got caught hand cookie jar bud xf x f xa xa true transparent party ppc far concerned nobody else legitimately qualified n ppcmajority  kinsellagate  elxn  ppc  cpc
positive,,ndp green candidates orleans co hosting results watch party taproom monday invited many live orleans feel free show invite friends  elxn
negative,Economy,ndp basically broke little leverage minority parliament practical matter able threaten election n nthe real question liberal platform would ndp vote answer much n n cdnpoli  elxn
negative,Others,ndp never win majority really ought accept makes think one fix everyone canada problems full n cdnpoli  elxn
negative,Others,possibility liberals may agree ndp terms greens support conservatives though scares n n elxn  cdnpoli  cdnelxn
positive,,press way like stories opinions objective news source realize stories fact factual n elxn  cdnpoli n defundcbc  boycottpostmedia
negative,Scandal,recognizable bias canada xe x x largest media company postmedia comes top xe x x cmust  conservative ride inside story  postmedia right turn xe x x  cdnmedia  cdnpoli  elxn
positive,,son dr martin luther king gave endorsement pm n xf x f x x xe x xa xef xb x f n nthank thank sir much appreciated north th parallel love n n cdnpoli  chooseforward  elxn
positive,,stakes higher ever today joined kitchener conestoga rd candidate helped federal election see full list  elxn
positive,,sun owned operated multibillion dollar american hedge fund american paper fits together quite well bonkers expect  cdnpoli  elxn  chooseforward  kinsellagate
negative,Others,term  octobersurprise one used  usa politics late campaign plot twist turns tide one side  warrenkinsella may supplied canadian version  elxn  doubleagent    tories happy  andrewscheer used
negative,Scandal,thing media officially endorsing candidates mean always tacitly supported favourites n elxn
negative,Scandal,toronto sun nothing without permission extreme right us owned trump affiliated  postmedia bosses par course expressed mission serve cons postmedia using convicted criminal conrad black rail pmjt  elxn  cdnmedia  cdnpoli
negative,Others,word use describe andrew scheer saying use polite company spread fields grow potatoes  chooseforward  elxn  elxn
positive,,days left  elxn needs help knock doors final stretch  getoutthevote monday election day support brian  representationmatters  cdnpoli
positive,,days left  elxn needs support knock doors help  getoutthevote  vancouvercentre monday election day lend hand  cdnpoli  representationmatters
positive,,days left  elxn needs help knock doors  getoutthevote monday election day volunteer help knock doors  cdnpoli  representationmatters
positive,,days left  elxn help knock doors final stretch  getoutthevote election night monday  stormontdundassouthglengarry  cdnpoli  representationmatters
positive,,days left  elxn let help elect  edmontoncentre help knock doors volunteer  getoutthevote monday election day  lgbtq  representationmatters  cdnpoli
positive,,days left campaign  elxn needs help knock doors  getoutthevote  saskatoonwest help elect sheri  cdnpoli  lgbtq  representationmatters
negative,Others,campaign terrible look ahead good things could still lead n  cdnpoli  pharmacare  housing  climateaction
positive,,deserves thorough review n n cdnmedia  cdnpoli  elxn
positive,,turned anybody sheer election mostly want keep track kids activity receipts seriously terrified possibility  elxn
negative,Scandal,old article good one important pay attention majed jowhari infiltrate  canada political system  iran regime agent  canada  parliament via  cdnpoli  elxn  richmondhill alert
negative,Scandal,appalling slimy politicking imaginable betrayed canadian people denied real democracy promising times even answer question knows decent answer  cdnpoli  elxn  vote pr
negative,Others,kinsella day  elxn
negative,Scandal,much fun bring  lyingandy past answer embarrassing questions one asked hiring hamish marshall former boss founder hate group proud boys  elxn  cdnpoli
positive,,surrey fleetwood port kells n ndue liberal ndp green vote splitting tight race n nliberals polling cons n nunless people vote strategically conservatives could win fleetwood n n votesplitting  cdnpoli  elxn  bcpoli  vanpoli  surreybc  uprisingh
positive,,like see e ndp surged lead british columbia  elxn  cdnpoli
negative,Economy, trudeau allegiances lie n globalstage missing photo george soros nfrank guistra unchr president nif reelected money commit cdn taxpayer global partner projects n cdnpoli  elxn ns
negative,Scandal,kinsella scandal involving seems lot rotten initially thought stonewalling work  elxn  elxn
negative,Scandal,manny last tweet  kinsellagate scandal story hope sincere fierce criticism opponents one  kinsellouts  elxn  cdnpoli
positive,,thread trudeau keep promises still deserves elected made life better canadians p keep promises really good  chooseforward  teamtrudeau  cdnpoli  elxn
negative,Others,today trudeau cited perry bellegarde support rally somehow think actually endorsed trudeau  elxn
negative,Scandal,translation scheer hired kinsella firm seek destroy  ppc likely trudeau well n n elxn  kinsellagate  stopscheer
positive,,trudeau indeed ready  climateaction nchoose wisely kids ncons liberals form government nthat math n xf x f x xb xf x f x xb n scheerdisaster trudeau n chooseforward n elxn n elxn n cdnpoli
negative,Others,truth liberal friends need reflect nliberals trudeau deserve run canada n elxn  cdnpoli  polqc  ottawasouth  ottawacentre
negative,Others,uhm greens hired kinsella let even get  blackface  snclavalinscandal ppl want big enough smear deter ppl supporting  cpc gonna helluva lot better bullshit n elxn  cdnpoli
negative,Others,umm hello n n kinsellagate breaking crickets n nwhat one think n n cdnpoli  canpoli  elxn  cdnmedia
negative,Tell lies,various studies lol n n blackface trudeau feckless  lavscam liberals nothing four years evidence new promises made  elxn things could done past four years  cdnpoli
negative,Separation,vote us may actively work break country good look canadian conservatives  elxn  cdnpoli
negative,Scandal,wait bernier says political comms guy hired political comms work attack democracy officially found idiotic take canada  cdnpoli  elxn  maximefamilycult
negative,Others,warren kinsella consulting firm worked seek destroy bernier ppc party documents say cbc news  cdnpoli  elxn  canadavotes
negative,Scandal,watch wink responds reporters question whether hired dirty work n n cdnpoli  elxn
positive,,watch broadcast ppc leader maxime bernier responds seek destroy campaign  elxn  cdnpoli xf x f xa xb xe x x xe x x xef xb x f
positive,,watching scheer stumble last two days campaign pleasure watch hope get second majority xe x xa xf x f x xa xf x f x xa n chooseforward n elxn n itsourvote n cdnpoli n cdnelxn
negative,Tell lies,also tell cuts may may make confirm lies may may tell xf x f x xb  elxn
positive,,lucky great partners like partners east ottawa makes hosting events like federal debate possible forget everyone  vote monday  elxn  cdnelxn
positive,,go polls monday  elxn get know candidates  kelowna lake country election forum pm afternoon n ncan listen find information online n n
positive,,fantastic turnout yesterday today election day volunteer training sessions ready bring home monday xf x f x x c n n teambaker  elxn  cdnpoli  etobicokecentre  chooseforward
positive,,come far yet people still know exist going door door today less heard party n ntell everyone know us votes get better next election every vote counts n n pierrefondsdollard  ppc  canpoli  elxn
positive,,well even b deficit figure far far short harper record b deficits n nno one seems ever remember n nand think b mulroney b old record deficit n ntrudeau never come close old numbers n n cdnpoli  elxn
negative,Others,well guess going another federal election year  elxn  nonconfidence
positive,,almost finish line two days help elect mp work across party lines bold climate action green new deal let roll n n elxn  canadavotes  cooperate climate
positive,,wire  elxn needs help  yorktonmelville lend hand connor campaign help  getoutthevote  cdnpoli  representationmatters
negative,Economy,gonna build great programs may need may effective gonna make grandchildren pay  progressive  deficits  cdnpoli  elxn
positive,,officially endorsing west vancouver sunshine coast sea sky riding please vote monday october st  elxn  cdnpoli n
positive,,got primer every york region riding heading monday vote  elxn  cdnpoli  vote
positive,,got primer every york region riding heading monday vote  elxn  cdnpoli  vote
positive,,got primer every york region riding heading monday vote  elxn  cdnpoli  vote
positive,,made important progress last four years continue move forward priorities like platform find  elxn n vangran  cdnpoli
negative,Others,incredible loss access knowledge ebooks library represent incredible accessible resource four millions canadians sincerely hope tuesday government recognizes  elxn  ebooksforall n library  accessiblility
negative,Others,guys today watching videos n crying n n elxn  uprisingh
negative,Scandal,scheer trying hide vendor relationships public gov ts total b vendor relations likely corrupted politicians pocket bribes scheer want comment help wonder  cdnpoli  elxn  chooseforward
negative,Tell lies,point rules scheer cpc lie hire bots trolls take parties fake news make mockery canada electoral system need system holds parties accountable real consequences  elxn  cdnpoli
positive,,equalization payments stop coming alberta economy killed alberta suffers east  elxn  elxn
negative,Scandal,whatever think trudeau blackface past pretty big get endorsements obama mlk son counter also puts black canadian ultra progressives awkward spot first delicately discredit obama mlk son  cdnpoli  elxn
negative,Others,xe x xa th th election row falls ethics shelf hard  elxn
positive,,difference greens ndp n gpc  elxn  canpoli  cdnpoli  canadaelection  tordan
negative,Climate Problem,wrong liberals climate approach everything nit based inaccurate ipcc modeling vs real data science fact climate crisis  elxn n  cdnpoli  ottawacentre
positive,,average canadian focus attention federal  election  cdnpoli  polcan  saturdaythoughts  itsourvote  elxn nin week  podcast discuss  politics  climate  animalwelfare topics consider n
positive,,manny n n kinsellagate  mannyottawa  elxn  cdnpolil n nthe libcons uniparty n ncanadians one choice monday keep xf x f x x
positive,,whether one person thousands fighting make life easier canadians  elxn  uprisingh
positive,,prime minister canada n nthe guy honest upfront bad n nconlib leader like trudeau blanchet scheer say love respect everyone election disrespect next years n n polcan  elxn
negative,Healthcare,next prime minister canada n ndentalcare bad pay pay foreign profit oil gas n npharmacare really bad good medicine supposed cost health n n polcan  elxn
positive,,next prime minister canada n nhe racist anti immigrant candidate bad n nhe put women back kitchen propose remove rights bad n ndid positive campaign really bad n n polcan  elxn
positive,,next prime minister canada n nthe guy work normal people bad n nonly one balanced realistic budget demand tax fraud pay shares bad n nthe guy white bad n n polcan  elxn
negative,Privilege,next prime minister canada n nhe ask canadians citizens future canadians dream big n nthat bad dream big rest us pay n n polcan  elxn
positive,,tweeted streaming link yet news conference  kinsellagate  kinsellouts  projectcactus  elxn  cdnpoli
negative,Tell lies,next prime minister canada n nhe hidden agenda hidden citizenship really really bad n nthe guy need face paint coloring realy bad costume industry n n polcan  elxn
positive,,would hire someone show job interview vote hand vote someone came earn vote  teamcoenraad  elxn  cdnpoli  thephantomcandidate
positive,,wow lose like said another liberal blue  libcon glad voted integrity canadian values  ppc earned vote  elxn
positive,,yeah dirty yes labour intensive end day burning plentiful coal reliable electrical power make good steel exactly kicking puppy anything fringe benefit immediate creation good honest jobs  elxn
positive,,yep giving country  republicannorth greed smear campaigns fed provincially via maclean sgang despicable  votingliberal end  invasionbystealth  elxn  raisethebar  standonguardcanada
negative,Others,yes good mice join  uprisingh mice knocking doors streets  mouseland talking get fair share cheese monday forget march polls mark x mighty mouse  initforyou xf x f xa xa xf x f x x n xf x f x xad xf x f xa x n cdnpoli  elxn
positive,,yes nlet indeed n n n elxn n uprisingh
negative,Privilege,yes cares underhanded backroom dealings let hear conservatives plan put pockets capp buddies removing gst home heating cost billion year  cdnpoli  ableg  elxn
positive,,yesterday climate strike edmonton n nwe need people parliament actually listening science n n cdnpoli  elxn  climatestrikeyeg  climatestrike  fridaysforfuture
negative,Privilege,yikes maybe flown toronto fast today n nlot  teamtrudeau baggage haul n n twoplanetrudeau xe x c x xe x c x  cdnpoli  elxn n n xe xac x xe xac x
negative,Women Reproductive right and Racism,let trump government decide whether protect black brown refugees people serious fighting racism equivalent bought pipeline people care climate change deal breaker  ndp  cdnpoli  elxn
negative,Others,need defeated replaced n cdnpoli  elxn
positive,,young canadians grown shadows older generations power shaping electorate anymore xe x x n n  cdnpoli  millennials  genz
negative,Tell lies,memory apparently selective let remind n nyou spent last years nose buried deeply ndp crack n nyou really credible critique today n n bcpoli  cdnpoli  elxn
positive,,wondered know know michael wassilyn story running  guelph  elxn n
positive,, andrewcoyne father governor bank canada despite perfect exemplar de assimilated irishman somebody please think immigrants  elxn
positive,, anxiousandrew xe x x threatened far right ppc xf x f x x f  cdnpoli  polcan  elxn  itsourvote
negative,Others, anxiousandrew xe x x threatened far right ppc xf x f x x f  cdnpoli xc xa  polcan xc xa  elxn xc xa  itsourvote
positive,, anxiousandrew xe x x threatened far right ppc xf x f x x f  cdnpoli xc xa xc xa xc xa xc xa xc xa  polcan xc xa xc xa xc xa xc xa xc xa  elxn xc xa xc xa xc xa xc xa xc xa  itsourvote
positive,, breaking  elxn n ncp pulls ahead headed majority mandate
negative,Others, breaking insider says cons xe x x cmorally intellectually bankrupt xe x x n nand xe x x done countless countless others corrupted perverted co opted ruined collective reality entire communities n nthey bad guys n n chooseforward  elxn
positive,, canada  cdnpoli  elxn ni think many canadians following suit ndid see n
negative,Others, canada  elxn  cdnpoli lifestyle end values know sit accept lifestyle infiltrate country  trudeaumustgo
negative,Others, canada paris accord one andrew scheer take us  elxn  cdnpoli nwake canada check led wrong path
positive,, canada take minutes listen learn  elxn  cdnpoli
positive,, canadavotes xf x f x xa xf x f x xa  cdnpoli  elxn poll tracker liberals regained seat advantage conservatives remain close national race public support well threshold required majority government
negative,Scandal, canadavotes  elxn  cdnpoli facts ethics watchdog pushes collusion probe  conservatives canada largest oil gas lobby group stand accused possibly colluding violation country elections law
negative,Scandal, canadavotes  elxn  cdnpoli facts  andrewscheer american andrew scheer avoids answering repeated questions relation campaign american style smear campaign opponent  maximebernier conservatives fear mongering never change
negative,Scandal, canadavotes xf x f x xa xf x f x xa  elxn  cdnpoli facts ontario  conservative party face lawsuit election party allowed ballot stuffing illegal voting unqualified people including  dougford family members anything win
positive,, canadian politics today n n elxn  canada  politics  news  cdnpoli  canpoli  polcan  nlpoli  peipoli  nspoli  nbpoli  polqc  qcpoli  onpoli  mbpoli  skpoli  abpoli  bcpoli  ykpoli  nwtpoli  cpc  lpc  ndp  gpc  trudeau  scheerlies  stopscheer  scheer n
negative,Climate Problem, carbontax set cents per litre xe x x way coalition gas well per litre canada afford  cdnpoli  elxn
negative,Others, cdnmedia  cdnpoli  elxn  ppc  madmax  trudeaumustgo  trudeaublackface okay everyone one feeling people vs justin trudeau hd p via
negative,Others, cdnpoli  elxn  notasadvertised failures trusted
negative,Scandal, cdnpoli  elxn n n trudeau said could never run top job many secrets n n justsaying
negative,Others, cdnpoli  elxn nmore false scheer attacks desperate trudeau
negative,Others, cdnpoli  elxn nwatching cbc news channel n pissed
positive,, cdnpoli  elxn globe mail reports conservative party hired public relations firm daisy group run renowned anti racism activism fight racism canada
positive,, cdnpoli  elxn thread
positive,, cdnpoli  elxn whats going  ccom  ccom
negative,Scandal, cdnpoli n elxn n cpckinsellagate ntime investigate promote fake scandals n chooseforward n voteliberal xf x f x xa xf x f x xa
positive,, chooseforward strategically voting candidate riding stands best chance beating cpc candidate riding  elxn  cdnpoli  itsourvote  countryoverparty
negative,Women Reproductive right and Racism, cpc hiring spree utmost importance pro life movement excellent pro life political staff social conservatives made scheer leader plan reopen abortion debate reject false equivalency made  cpc claims  elxn
positive,, defundcbc n nwatch instead nthe best election coverage n n cdnpoli  onpoli  polqc  bcpoli  abpoli  elxn
positive,, dementia significant challenge faced thousands canadians families need help use online letter writing tool ask  election candidates take action dementia  nationaldementiastrategy  elxn  cdnpoli
positive,, democracy work  sandstoneyyc residents celebrating rights informed choose make sure candidates listened care concerns vote  calgarynosehillneedschange  yycnosehill  votejosephine  votetsang  chooseforward  elxn  yyc
positive,, despicable  seekanddestroy politics differently sink low go high canadians fair minded go  voteppc  elxn
negative,Others, elxn nwhy say comment nwhen bullsh bytes nwill
negative,Tell lies, elxn n kinsellagate n cpc n lpc n ndp n ni wanna hear apologies people spreading harmful outright lies ppc candidates supporters
negative,Tell lies, elxn nif consultant paid guideline disclosure came effect affects leader official party make contractor n complicit fake news n accountable serious breach n influence outcomes n max
positive,, elxn important
negative,Climate Problem, elxn conservative new brunswick came radio lied climate problem indicating response climate change would cost times solve  climatecrisis step process demand removing xf x f x c x e xf x f x xa
positive,, elxn article best articulates choice support ndp  uprisingh greens xe x x adequately address  indigenousjustice libs cons neoliberals tuned needs wealthy want proportional representation  climatejusticenow
positive,, elxn xe x x honestly feeling like right
positive,, faith remains sensitive topic candidates canadians go polls  elxn  cdnpoli n nread
negative,Others, fptp parliaments lack motivation cooperate n n proportionalrepresentation better option n n cdnpoli  elxn
negative,Others, genuismustgo  abc  elxn  voting n sherwoodparkfortsaskatchewan n ncon nlib nnd ngr nlbt
positive,, hrbc remember liberal party created canada child benefit million funding tax free going families riding helps families makes ends meet n nif elected benefit increased n n chooseforward  gowithsgro  elxn
negative,Scandal, leonaallesley sinks zombie mode hearing  andrewscheer bizarrely refusing answer team hired  warrenkinsella use nixonian style dirty tricks plague political adversaries innocent xe x x say meaning verdict guilty charged  elxn
negative,Others, libcons deserve loyalty non oct st make voice heard  elxn  cdnpoli  ppc
negative,Tell lies, lyingandy  scheerlies xe x x guessed xe x x lying teeth n n notasadvertised n cdnvote  elxn n canadavotes  elxn n itsourvote  chooseforward
positive,, miltonon right  elxn n chooseforward n xf x f x xb charles parchem nyle faridi kat mcintyre
negative,Others, ndp jagmeet likes finer things life like bmws pipelines fuel  saudioil  cdnpoli  privateschoolinusa  toronto  brampton  mississauga  elxn  edmonton
negative,Others, powerhungrylibcons n nthe lesson men dimples nice hair turbans look eye paying terrorist stab back n n face weapon mobilized ruin reputation livelihood peace mind  ppc  elxn  cdnpoli
positive,, public  transit  good  environment xe x x  great  stressrelief  hassle  stress  free say today  campaign trail taken around  metro  stations  ahuntsic  cartierville found enamoured  neighborhood  elxn
positive,, quoteoftheday n n xe x x cpeople say xe x x going xe x x n n cdnpoli  elxn
negative,Others, rebelmedia bulling young woman xe x xa xe x xa  cdnpoli  disgusting  elxn
negative,Tell lies, scheer called campaign misinformation instead campaign smear parliamentary experts say complete nonsense says get gov still saying nothing trump schenanigans islolatecanada xf x f x x numbskull  cdnpoli  elxn
negative,Scandal, scheer asked times  conservative party hired kinsella spread misinformation  maximebernier would say xe x x yes xe x x xe x x xe x x much honesty transparency  canadavotes  elxn  cdnelxn  scheerdesperation  scheerlies
positive,, scheerlies going eclipse  harperlies sometime weekend n n  cdnpoli
positive,, teamgould heading join  teamtrudeau milton xe x x still time sign help election day  elxn
positive,, teamjagmeet toppers coming lawn near xf x f x x  imwithjagmeet  ysw  elxn
negative,Others, trudeaublackface must go  elxn
positive,, trudeauworstpm  trudeaublackface  scheer pm  scheer pm think dad knew pet despised sorry tagging much crazy canada monday election xf x f x x f xf x f x x f xf x f x x f  elxn  savecanada whole fam voted
negative,Others, unfuckingbelievable sneaky n cdnpoli  elxn  elxn  prochoice
positive,, uprisingh proud stand fellow candidates supporters new democrats  initforyou  elxn
positive,, vancouverisland  uprisingh  elxn  ndp candidates w
positive,, vdlc support team n bcunion  bclab  canlab  elxn  uprisingh
negative,Tell lies, vote smart people  chooseforward vote candidate least likely win riding conservative leader hes liar  ndp  uprisingh  londonfanshawe  elxn
positive,, vote vote lives depended vote strategically candidates best chance defeat cancer become cpc destroying great country people n n cdnvote  elxn n canadavotes n n
negative,Others, warrenkinsella  elxn want trudeau defeated
negative,Scandal, warrenkinsella disowned  trudeau really denounce meaningful way ostensibly worked  greenparty  elxn find works  andrewscheer like  tommyleejones assassin character package everybody pays
positive,, whyivotedpeoplesparty  walkawayvotepeoplesparty  elxn  cdnpol  polcan please retweet pipelines built nequalization formula revised make fair provinces capital gains tax double dipping taxes nabsolutely climate problem
negative,Scandal, yankeedoodleandy hires outside company execute  donaldtrump like  dirtytricks operation  seekanddestory political rival  maximebernier coming  elxn nonly thing missing  ukraine xf x f x x b  satire  cluckcluck n scheerdisaster n cdnpoli  elxn
positive,,billion cuts promised andrew scheer xe x x conservatives xc xa would make damaging cuts vital services canadians rely giving massive tax breaks big polluters xc xa wealthiest n n stopscheer n n cdnpoli  elxn  onpoli  polqc  bcpoli
positive,,chefs kiss  elxn
negative,Others,last minute addition poppies candidate xe x x signs indication endorsement candidate party behalf n ndo feel xe x x appropriate use symbol n n  canpoli  elxn
positive,,friday morning downtown vancouver heading nanaimo later day nanaimo miss today downtown vancouver anyways anyone know get rid curse  elxn
negative,Climate Problem,numbers show consumers revving usage fuel widening discrepancy negative branding democratic oil producers like canada encouraging shutdown responsible transparent segment global industry  elxn
negative,Tell lies,never answers challenging question straight answer hiding andy n cdnpoli  elxn
negative,Tell lies,touts qualifications pm b c jobs worked xe x x qualified ceo universal studios b c wrote screenplay  nah  elxn weasel whose whole career taxpayer dime brags xe x x cbusiness xe x x creds
positive,,support traditional practices recognize role extended families elders sustain aboriginal health human resources initiative nto continue capacity building health care profession indigenous communities  cdnpoli  elxn  autism
positive,,welcomes right honourable jean chr xc xa tien stage n nhis message  chooseforward progressive liberal gov xe x x prevent scheer scrapping  climateaction n n cdnpoli  elxn
positive,,climate change concern  climateaction goal vote progressive liberal government issue election n n cdnpoli  elxn  chooseforward
positive,,xe x x xe x x di xe x x answer types questions totally expect party leaders raise suspicions xe x x xe x x n nnot unlike n n  elxn  elxn  elx  canadavotes  cdnpoli  onpoli
negative,Tell lies,really needs nto speak way  scheerdishonesty misleading canadians without naming names  elxn
positive,,trees  cdnpoli  elxn
negative,Tell lies,xe x x seen amoral paycheque think hit piece part smearing campaign n n ppc  ppc  cdnpoli  elxn n n
positive,,jagmeet singh one watch  elxn  cdnpoli
positive,,sure plans think fly  newfoundland  labrador  impromptu tour past days according  googletrends name searched time areas searched name  elxn
positive,,xe x x energy particularly stage  elxn incredible even jack would time keeping
positive,,knows little something paddling harder singing louder let xe x x keep going  chooseforward  elxn
negative,Tell lies,ah ah  andrewscheer pcparty xf x f x xa xf x f x xa liar liar pants fire tu sais les canadiens ne sont pas stupid nonly truth set free n cbcpolitics  radiocanadainfo n  quebec n ctv  cdnpoli  canadadebates  canadavotes  elxn
positive,,liberal supporter feels little queasy toxic narratives  elxn allow present political pepto  cdnpoli
positive,,america going sit couch monday night wait anxiously federal election results n n elxn
negative,Others,turd burglar  steerclearofscheer n election  elxn n vote  vote  vote
negative,Others,conservatives seem unable grasp concept adverse inference comes preferred candidates n n cdnpoli  elxn
negative,Separation,see emmett right third sentence falsehood driven conservative politicians driving wedge country manufacturered fear anger turns votes duped  elxn  cndpoli  ableg
positive,,progressive vote splitting  fptp ballot nicest gift could given since ballot make tory pm  canada  elxn
positive,,let xe x x give  uprisingh canada get back progressive caring country  elxn xf x f xa xa
positive,,would vote could  trudeaumustgo  elxn
positive,,speak ontarians canadians us actually pay attention actual facts false smear campaigns see past scheer lies hyprocity see economy growing unemployment poverty etc  cdnpoli  elxn  chooseforward
negative,Others,give opportunity go back full time acting drama teaching  trudeaumustgo  elxn
positive,,canada tax chiefs knew foreign money xe x x big role vancouver housing market years ago leaked documents show xe x x ignored xe x x auditors xe x x warning  elxn  cdnelxn n n
positive,, anxiousandrew xe x x threatened far right ppc xf x f x x f  cdnpoli xc xa xc xa  polcan xc xa xc xa  elxn xc xa xc xa  itsourvote
negative,Others,union member resent dues used manner p many us feel way n n elxn n n
negative,Others,looks like thing less transparent scheer shorts presser n n elxn
positive,,oops forgot disclose director aurea foundation funded represents fraser institute oh brother director fraser institute  elxn  cdnpoli  cdnmedia n
negative,Women Reproductive right and Racism,globe mail reports conservative party hired daisy group renowned anti racism activism fight racism outside election period canada e even pre writ period  cdnpoli  elxn
negative,Others,andy makes rules sees fit  elxn
positive,,conservative party needs new leadership mackay wall hope watching rebuild party integrity  skpoli  regina  cdnpoli  elxn
negative,Tell lies, weakandy  deceiptfulandy trending xe x x ready  cdnpoli  elxn
negative,Others,liberals keep kind operatives staff  butts  telford  cdnpoli  elxn
negative,Others,would speechless  elxn
positive,,true trudeau still consistent worldview scheer scheer xe x x commitment xe x x censure xe x x open debate xe x x pro life  delusional  elxn
positive,,may may together  elxn
negative,Others,incompetent disrespectful canadians rude answer xe x x xe x x know answer aside scripted answers fool inept  canadadeservesbetter  trudeaumustgo  elxn  cdnpoli
positive,,ridiculous questions leader campaigning majority government would need hear views minority government nbravo staying message n n chooseforward  elxn  cdnpoli
negative,Privilege,total disdain common folks knows best us answer pesky questions  cdnpoli  elxn
negative,Others,scheer xe x x given straight answer important questions stands entire election stfu xe x x done hearing n n elxn  vote n chooseforward
negative,Others,arrogance ok canadians xe x x get  elxn
positive,,believe means  cdnmedia needs ask appropriate questions get con wagon blame media promoting lies intelligent answer speculative questions feeds nonsense n elxn  chooseforwardwithtrudeau
negative,Scandal,lmao keep spinning end xe x x already nmsm failed canadians miserably partisan reporting xe x x soon forget n trudeaumustgo xf x f x xbd n elxn n cdnpoli
negative,Others,happened mr politics differently mr sunny ways mr open transparent nmr one way communication parrots back talking points gives direct answers deserves one way answer back voters n buckthebinary  ducktheduopoly  elxn  cdnpoli
negative,Separation,everyone kissing  quebec ass want separate cares let  elxn  cdnelxn  elx
negative,Others,toast  cdnpoli  cdnmedia  elxn
negative,Economy,xe x x cmore money pockets xe x x conservative double speak wage freezes wage rollbacks increased retirement wage  regina  skpoli  cdnpoli  elxn
negative,Climate Problem,heck think  cpc would continue kind tactics anyone perceived xe x x cthe opposition xe x x christ  jkenney version xe x x cstar chamber xe x x pesky environmentalists xe x x  cdnpoli  elxn
negative,Scandal,could said hire warren kinsella daisy group n nwhy  cndpoli  elxn  chooseforward
negative,Others,failed connect electorate campaign lose n nthe knives monday night remains opposition could peter mckay much visible week  elxn
negative,Scandal,hey  scheerrepublican  trump calling stay hell  canadian  elxn  cdnpoli  bcpoli  onpoli  quepoli
negative,Economy,hey lyin xe x x andy facts say otherwise job growth lpc govt greater master harper  cdnpoli  elxn
negative,Scandal,proving guilt refusing answer innocent would answer n scheerlies n voteppc n cdnelxn n cdnpoli n elxn
negative,Tell lies,one trusts anymore morally corrupt let canadians truly believe conservative principles actions highlighted run campaign based lies attacks lack decency voice canada n n elxn
negative,Tell lies,scheer continues deny lie data facts cdn economy demonstrate exact opposite campaigned years  cdnpoli  elxn
positive,,bedtime reading  elxn  elxn  canadavotes
negative,Tell lies,speak remove asterisks promises  scheerlies  scheerdisaster  scheernotasadvertised n xf x f x xa xf x f x xa  keepcanadacanadian xf x f x xa xf x f x xa n istandwithtrudeau  elxn
negative,Privilege, cpc  liberals support working class people n nthe truth care us n ngo canada go vote  chooseforward choose n n xf x f xa x xe x c x xf x f xa x d ndp xf x f xa x xe x c x xf x f xa x n n elxn  powertotheinformed n n uprisingh
negative,Others,warren kinsella dirty n scheerlies n scheerhypocrisy n scheerdisaster n chooseforward n elxn
negative,Women Reproductive right and Racism,hired firm label fellow canadians racists nyou unfit trudeau run canada nthe choice clear vote  peoplespartyofcanada nend  libconcorruption  powerhungrylibcons  elxn
positive,,words live n n others resort labels condemnations talk values  andybrooke  peoplespartyofcanada  elxn
positive,, canada world needs arlene  elxn
positive,,know man citizen canadian values would want prime minister voters maintain canadian values protect future economy future children future planet vote strategically  cdnpoli  elxn
positive,,always known judged company keep  elxn  cdnpoli
positive,,like america need scheer make canada great  elxn  passion
positive,,part bbc world service primer series canadian election profile prime minister justin trudeau struggling stay power rundown main rival conservative andrew scheer airs tonight p est bst  elxn
positive,,put together summary major party platforms incl parties address housing crisis facing country  elxn  makehousingcentral
negative,Scandal,international students serve espionage tools totalitarian regime reneges international agreements exporting corruption western democracies stealing intellectual property n n cdnpoli  elxn  bcpoli
negative,Others,oh gawd  yankeedoodleandy hope someone going jail xf x f x x b  satire  cluckcluck n scheerdisaster n cdnpoli  elxn  chooseforward n n
positive,,vote xe x x done outstanding job representing riding beaches east york convinced kids vote well hoping guy pm one day hands deck need  chooseforward  climatechangeisreal  elxn
positive,,voted ensure win got  elxn  cdnpoli
positive,,thanks bill fighting us could defeated scheer without ppc xe x x help remember keep listening unicor give talking points attack scheer n n elxn  voteppc  ppcmajority  ppc alltheway  ppc  trudeauworstpm
negative,Separation,carpet bombing bullshi albertans put scornful onslaught condemnation lil greta also put trudeau xe x x grotesque commitment screw entire province ni feel lovely albertans n elxn n trudeamustgo
negative,Separation,bloc qu xc xa b xc xa cois want keep taking us alberta encourage discourse division andrew alberta separate apart movement  elxn
positive,,good advice non tory supporting voters  elxn  cdnpoli
positive,,get feeling conservatives greens get enough seats combined majority two parties form agreement govern thanks warren kinsella  cdnpoli  elxn
positive,, election  elxn boyan works solving plastic pollution oceans greta screams criticizes world see big difference teenagers media talking boyan
positive,,many gone quiet suddenly deep go  kinsellagate  cdnpoli  polcan  elxn  elxn
positive,, alipay  wechat ccp e payments designed operate outside ecosystem  visa  mastercard accepted china chinese payments accepted north america reciprocal relationships  elxn  cdnpoli  foreignpolicy
